Stock(tickertape),Weightage(%),ySymbol,Symbol,Company Name,sector
Quess Corp Ltd,0.02,QUESS,QUESS.NS,Quess Corp Limited,IT
Radico Khaitan Ltd,0.08,RADICO,RADICO.NS,Radico Khaitan Limited,Discretionary
Rail Vikas Nigam Ltd,0.16,RVNL,RVNL.NS,Rail Vikas Nigam Limited,Build Mate
Railtel Corporation of India Ltd,0.02,RAILTEL,RAILTEL.NS,RailTel Corporation of India Limited,Tele & Media
Rainbow Children's Medicare Ltd,0.03,RAINBOW,RAINBOW.NS,Rainbow Children's Medicare Limited,Healthcare
Rajesh Exports Ltd,0.01,RAJESHEXPO,RAJESHEXPO.NS,Rajesh Exports Limited,Discretionary
Ramco Cements Limited,0.05,RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Limited,Build Mate
Ramkrishna Forgings Ltd,0.04,RKFORGE,RKFORGE.NS,Ramkrishna Forgings Limited,Auto & Anc
Rashtriya Chemicals and Fertilizers Ltd,0.01,RCF,RCF.NS,Rashtriya Chemicals and Fertilizers Limited,Agri & Chem
Ratnamani Metals and Tubes Ltd,0.04,RATNAMANI,RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Metals & min
Rattanindia Enterprises Ltd,0.01,RTNINDIA,RTNINDIA.NS,RattanIndia Enterprises Limited,Utilities
Raymond Ltd,0.03,RAYMOND,RAYMOND.NS,Raymond Limited,Others
RBL Bank Ltd,0.05,RBLBANK,RBLBANK.NS,RBL Bank Limited,Banks
REC Limited,0.35,RECLTD,RECLTD.NS,REC Limited,NBFC
Redington Ltd,0.06,REDINGTON,REDINGTON.NS,Redington Limited,Others
RELIANCE INFRASTRUCTURE LTD,5.19,RELIANCE,RELIANCE.NS,Reliance Industries Limited,Oil & gas
Restaurant Brands Asia Ltd,0.02,RBA,RBA.NS,Restaurant Brands Asia Limited,Discretionary
RHI Magnesita India Ltd,0.02,RHIM,RHIM.NS,RHI Magnesita India Limited,Build Mate
RITES Ltd,0.02,RITES,RITES.NS,RITES Limited,Industrials
Route Mobile Ltd,0.01,ROUTE,ROUTE.NS,Route Mobile Limited,IT
Safari Industries (India) Ltd,0.03,SAFARI,SAFARI.NS,Safari Industries (India) Limited,Others
Sammaan Capital Ltd,0.05,SAMMAANCAP,SAMMAANCAP.NS,Sammaan Capital Limited,Others
Samvardhana Motherson International Ltd,0.29,MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Limited,Auto & Anc
Sanofi India Ltd,0.03,SANOFI,SANOFI.NS,Sanofi India Limited,Healthcare
Sapphire Foods India Ltd,0.04,SAPPHIRE,SAPPHIRE.NS,Sapphire Foods India Limited,Discretionary
Saregama India Ltd,0.02,SAREGAMA,SAREGAMA.NS,Saregama India Limited,Tele & Media
SBI Cards and Payment Services Ltd,0.12,SBICARD,SBICARD.NS,SBI Cards and Payment Services Limited,NBFC
SBI Life Insurance Company Ltd,0.4,SBILIFE,SBILIFE.NS,SBI Life Insurance Company Limited,NBFC
Schaeffler India Ltd,0.08,SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Limited,Auto & Anc
Schneider Electric Infrastructure Ltd,0.02,SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Limited,Industrials
Shree Cement Ltd,0.13,SHREECEM,SHREECEM.NS,Shree Cement Limited,Build Mate
Shree Renuka Sugars Ltd,0.02,RENUKA,RENUKA.NS,Shree Renuka Sugars Limited,Staples
Shriram Finance Ltd,0.46,SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Limited,NBFC
Shyam Metalics and Energy Ltd,0.03,SHYAMMETL,SHYAMMETL.NS,Shyam Metalics and Energy Limited,Metals & min
Siemens Ltd,0.31,SIEMENS,SIEMENS.NS,Siemens Limited,Industrials
SJVN Ltd,0.05,SJVN,SJVN.NS,SJVN Limited,Utilities
SKF India Ltd,0.07,SKFINDIA,SKFINDIA.NS,SKF India Limited,Auto & Anc
Sobha Ltd,0.04,SOBHA,SOBHA.NS,Sobha Limited,Build Mate
Solar Industries India Ltd,0.14,SOLARINDS,SOLARINDS.NS,Solar Industries India Limited,Agri & Chem
Sona BLW Precision Forgings Ltd,0.17,SONACOMS,SONACOMS.NS,Sona BLW Precision Forgings Limited,Auto & Anc
Sonata Software Ltd,0.06,SONATSOFTW,SONATSOFTW.NS,Sonata Software Limited,IT
SRF Ltd,0.18,SRF,SRF.NS,SRF Limited,Agri & Chem
Star Health and Allied Insurance Company Ltd,0.07,STARHEALTH,STARHEALTH.NS,Star Health and Allied Insurance Company Limited,NBFC
"STATE BANK OF INDIA,",1.54,SBIN,SBIN.NS,State Bank of India,Banks
Steel Authority of India Ltd,0.1,SAIL,SAIL.NS,Steel Authority of India Limited,Metals & min
Sterling and Wilson Renewable Energy Ltd,0.04,SWSOLAR,SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,Industrials
Sterlite Technologies Ltd,0.02,STLTECH,STLTECH.NS,Sterlite Technologies Limited,Discretionary
Sumitomo Chemical India Ltd,0.04,SUMICHEM,SUMICHEM.NS,Sumitomo Chemical India Limited,Agri & Chem
Sun Pharma Advanced Research Co Ltd,0.01,SPARC,SPARC.NS,Sun Pharma Advanced Research Company Limited,Others
SUN PHARMACEUTICAL INDUSTRIES LTD.,1.02,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare
Sunteck Realty Ltd,0.02,SUNTECK,SUNTECK.NS,Sunteck Realty Limited,Build Mate
Sun Tv Network Ltd,0.04,SUNTV,SUNTV.NS,Sun TV Network Limited,Tele & Media
Sundaram Finance Ltd,0.28,SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Limited,NBFC
Sundram Fasteners Ltd,0.08,SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners Limited,Auto & Anc
Supreme Industries Ltd,0.16,SUPREMEIND,SUPREMEIND.NS,The Supreme Industries Limited,Others
Suven Pharmaceuticals Ltd,0.06,SUVENPHAR,SUVENPHAR.NS,Suven Pharmaceuticals Limited,Healthcare
Suzlon Energy Ltd,0.43,SUZLON,SUZLON.NS,Suzlon Energy Limited,Industrials
Swan Energy Ltd,0.04,SWANENERGY,SWANENERGY.NS,Swan Energy Limited,Others
Syngene International Ltd,0.08,SYNGENE,SYNGENE.NS,Syngene International Limited,Healthcare
Syrma SGS Technology Ltd,0.01,SYRMA,SYRMA.NS,Syrma SGS Technology Limited,Industrials
Tamilnad Mercantile Bank Ltd,0.03,TMB,TMB.NS,Tamilnad Mercantile Bank Limited,Banks
Tanla Platforms Ltd,0.03,TANLA,TANLA.NS,Tanla Platforms Limited,IT
Tata Chemicals Ltd,0.08,TATACHEM,TATACHEM.NS,Tata Chemicals Limited,Agri & Chem
Tata Communications Ltd,0.11,TATACOMM,TATACOMM.NS,Tata Communications Limited,Tele & Media
TATA CONSULTANCY SERVICES LTD.,2.31,TCS,TCS.NS,Tata Consultancy Services Limited,IT
Tata Consumer Products Ltd,0.42,TATACONSUM,TATACONSUM.NS,Tata Consumer Products Limited,Staples
Tata Elxsi Ltd,0.14,TATAELXSI,TATAELXSI.NS,Tata Elxsi Limited,IT
Tata Investment Corporation Ltd,0.05,TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Limited,NBFC
TATA MOTORS LTD.,1.05,TATAMOTORS,TATAMOTORS.NS,Tata Motors Limited,Auto & Anc
Tata Power Company Ltd,0.39,TATAPOWER,TATAPOWER.NS,The Tata Power Company Limited,Utilities
TATA STEEL LIMITED,0.64,TATASTEEL,TATASTEEL.NS,Tata Steel Limited,Metals & min
Tata Teleservices (Maharashtra) Ltd,0.02,TTML,TTML.NS,Tata Teleservices (Maharashtra) Limited,Tele & Media
Tech Mahindra Ltd,0.52,TECHM,TECHM.NS,Tech Mahindra Limited,IT
Tejas Networks Ltd,0.05,TEJASNET,TEJASNET.NS,Tejas Networks Limited,Tele & Media
Thermax Limited,0.08,THERMAX,THERMAX.NS,Thermax Limited,Industrials
Timken India Ltd,0.07,TIMKEN,TIMKEN.NS,Timken India Limited,Auto & Anc
Titagarh Rail Systems Ltd,0.05,TITAGARH,TITAGARH.NS,Titagarh Rail Systems Limited,Industrials
TITAN COMPANY LIMITED,0.71,TITAN,TITAN.NS,Titan Company Limited,Discretionary
Torrent Pharmaceuticals Ltd,0.17,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Healthcare
Torrent Power Ltd,0.17,TORNTPOWER,TORNTPOWER.NS,Torrent Power Limited,Utilities
TRENT LTD [LAKME LTD],0.77,TRENT,TRENT.NS,Trent Limited,Discretionary
Trident Ltd,0.02,TRIDENT,TRIDENT.NS,Trident Limited,Others
Triveni Engineering and Industries Ltd,0.02,TRITURBINE,TRITURBINE.NS,Triveni Turbine Limited,Industrials
Triveni Turbine Ltd,0.04,TRIVENI,TRIVENI.NS,Triveni Engineering & Industries Limited,Staples
Tube Investments of India Ltd,0.22,TIINDIA,TIINDIA.NS,Tube Investments of India Limited,Others
TVS Motor Company Ltd,0.34,TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Limited,Auto & Anc
UCO Bank,0.01,UCOBANK,UCOBANK.NS,UCO Bank,Banks
Ujjivan Small Finance Bank Ltd,0.04,UJJIVANSFB,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,Banks
ULTRATECH CEMENT LTD,0.67,ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Limited,Build Mate
Union Bank of India Ltd,0.12,UNIONBANK,UNIONBANK.NS,Union Bank of India,Banks
United Breweries Ltd,0.07,UBL,UBL.NS,United Breweries Limited,Discretionary
UNO Minda Ltd,0.1,UNOMINDA,UNOMINDA.NS,Uno Minda Limited,Auto & Anc
UPL Ltd,0.16,UPL,UPL.NS,UPL Limited,Agri & Chem
Usha Martin Ltd,0.04,USHAMART,USHAMART.NS,Usha Martin Limited,Metals & min
UTI Asset Management Company Ltd,0.06,UTIAMC,UTIAMC.NS,UTI Asset Management Company Limited,NBFC
V Guard Industries Ltd,0.04,VGUARD,VGUARD.NS,V-Guard Industries Limited,Industrials
V I P Industries Ltd,0.03,VIPIND,VIPIND.NS,V.I.P. Industries Limited,Others
Vaibhav Global Ltd,0.01,VAIBHAVGBL,VAIBHAVGBL.NS,Vaibhav Global Limited,Discretionary
Vardhman Textiles Ltd,0.03,VTL,VTL.NS,Vardhman Textiles Limited,Others
Varroc Engineering Ltd,0.01,VARROC,VARROC.NS,Varroc Engineering Limited,Auto & Anc
Varun Beverages Ltd,0.41,VBL,VBL.NS,Varun Beverages Limited,Staples
Vedant Fashions Ltd,0.04,MANYAVAR,MANYAVAR.NS,Vedant Fashions Limited,Discretionary
Vedanta Ltd,0.38,VEDL,VEDL.NS,Vedanta Limited,Metals & min
Vijaya Diagnostic Centre Ltd,0.02,VIJAYA,VIJAYA.NS,Vijaya Diagnostic Centre Limited,Healthcare
Vodafone Idea Ltd,0.17,IDEA,IDEA.NS,Vodafone Idea Limited,Tele & Media
Voltas Ltd,0.22,VOLTAS,VOLTAS.NS,Voltas Limited,Discretionary
Welspun Corp Ltd,0.04,WELCORP,WELCORP.NS,Welspun Corp Limited,Metals & min
Welspun Living Ltd,0.02,WELSPUNLIV,WELSPUNLIV.NS,Welspun Living Limited,Others
Westlife Foodworld Ltd,0.02,WESTLIFE,WESTLIFE.NS,Westlife Foodworld Limited,Discretionary
Whirlpool of India Ltd,0.07,WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Limited,Discretionary
Wipro Ltd,0.4,WIPRO,WIPRO.NS,Wipro Limited,IT
Yes Bank Ltd,0.22,YESBANK,YESBANK.NS,Yes Bank Limited,Banks
Zee Entertainment Enterprises Ltd,0.06,ZEEL,ZEEL.NS,Zee Entertainment Enterprises Limited,Tele & Media
Zensar Technologies Ltd,0.08,ZENSARTECH,ZENSARTECH.NS,Zensar Technologies Limited,IT
ZF Commercial Vehicle Control Systems India Ltd,0.05,ZFCVINDIA,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Auto & Anc
ZOMATO LIMITED,0.91,ZOMATO,ZOMATO.NS,Zomato Limited,Others
Zydus Lifesciences Ltd,0.14,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare
GODREJ AGROVET LTD,0.04,GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Limited,Others
BAJAJ ELECTRICALS LTD,0.03,BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited,Discretionary
BOROSIL LTD,0.01,BOROLTD,BOROLTD.NS,Borosil Limited,Others
LUX INDUSTRIES LTD,0.01,LUXIND,LUXIND.NS,Lux Industries Limited,Others
VINDHYA TELELINKS LTD,0.01,VINDHYATEL,VINDHYATEL.NS,Vindhya Telelinks Limited,Discretionary
GHCL LTD,0.01,GHCL,GHCL.NS,GHCL Limited,Agri & Chem
ROSSARI BIOTECH LTD,0.01,ROSSARI,ROSSARI.NS,Rossari Biotech Limited,Agri & Chem
GALAXY SURFACTANTS LTD,0.09,GALAXYSURF,GALAXYSURF.NS,Galaxy Surfactants Limited,Staples
UNICHEM LABORATORIES LTD,0.02,UNICHEMLAB,UNICHEMLAB.NS,Unichem Laboratories Limited,Healthcare
PUNJAB & SIND BANK,0.3,PSB,PSB.NS,Punjab & Sind Bank,Banks
MOIL LTD,0.02,MOIL,MOIL.NS,MOIL Limited,Metals & min
