Date,ltp,Adj Close
13-Mar-2024,246.5,246.03
12-Mar-2024,251.5,251.31
11-Mar-2024,252.75,252.05
07-Mar-2024,252.67,253.38
06-Mar-2024,250.88,251.99
05-Mar-2024,252.02,251.57
04-Mar-2024,252.4,252.29
02-Mar-2024,251.35,251.64
01-Mar-2024,250.65,251.33
29-Feb-2024,248,247.99
28-Feb-2024,247.12,246.95
27-Feb-2024,249.98,249.29
26-Feb-2024,248.97,248.55
23-Feb-2024,250,249.89
22-Feb-2024,247.5,248.66
21-Feb-2024,246.7,247.49
20-Feb-2024,248.82,248.78
19-Feb-2024,248.89,248.72
16-Feb-2024,246.95,247.47
15-Feb-2024,246.67,245.83
14-Feb-2024,244.46,244.48
13-Feb-2024,243.88,243.8
12-Feb-2024,242.6,242.23
09-Feb-2024,244.2,244.23
08-Feb-2024,245.04,243.55
07-Feb-2024,245,245.64
06-Feb-2024,244.94,244.52
05-Feb-2024,243.49,242.98
02-Feb-2024,243.98,243.65
01-Feb-2024,242.31,242.49
31-Jan-2024,242.39,242.34
30-Jan-2024,240.51,240.03
29-Jan-2024,243,241.94
25-Jan-2024,245.75,238.25
24-Jan-2024,238.22,238.47
23-Jan-2024,236.65,236.62
20-Jan-2024,239.66,240.52
19-Jan-2024,240.86,240.38
18-Jan-2024,238.8,238.63
17-Jan-2024,240.15,240.12
16-Jan-2024,244.02,243.94
15-Jan-2024,245.05,244.88
12-Jan-2024,243.3,242.65
11-Jan-2024,240.56,240.97
10-Jan-2024,240.58,240.41
09-Jan-2024,239.97,239.65
08-Jan-2024,240,239.44
05-Jan-2024,241,240.99
04-Jan-2024,240.28,240.29
03-Jan-2024,240.1,239.39
02-Jan-2024,240.5,240.33
01-Jan-2024,240,241.12
29-Dec-2023,240.99,240.42
28-Dec-2023,240.29,240.87
27-Dec-2023,239.02,239.01
26-Dec-2023,236.84,237.56
22-Dec-2023,235.15,235.45
21-Dec-2023,235.42,235.12
20-Dec-2023,233.6,234.05
19-Dec-2023,237.67,237.62
18-Dec-2023,238.08,237.63
15-Dec-2023,235.72,236.31
14-Dec-2023,234.25,234.16
13-Dec-2023,232.25,231.99
12-Dec-2023,231.65,231.33
11-Dec-2023,232.64,232.31
08-Dec-2023,231.5,231.41
07-Dec-2023,230.45,230.79
06-Dec-2023,230.84,230.85
05-Dec-2023,229.29,229.42
04-Dec-2023,227.35,227.44
01-Dec-2023,223.48,222.91
30-Nov-2023,221.18,221.41
29-Nov-2023,220.7,220.7
28-Nov-2023,218.99,218.78
24-Nov-2023,217.05,217.3
23-Nov-2023,217.5,217.52
22-Nov-2023,217.94,217.93
21-Nov-2023,217.1,217.41
20-Nov-2023,216.99,216.32
17-Nov-2023,217.42,217.21
16-Nov-2023,217.43,217.65
15-Nov-2023,216.76,216.2
13-Nov-2023,214.17,213.58
12-Nov-2023,214.8,214.75
10-Nov-2023,213.51,213.44
09-Nov-2023,213.59,213.46
08-Nov-2023,214.03,213.81
07-Nov-2023,213.41,213.16
06-Nov-2023,212.55,213.03
03-Nov-2023,211.34,211.16
02-Nov-2023,210,209.95
01-Nov-2023,208.35,207.89
31-Oct-2023,209.43,208.95
30-Oct-2023,209.79,209.55
27-Oct-2023,208.88,208.83
26-Oct-2023,207.26,206.55
25-Oct-2023,209.44,209.4
23-Oct-2023,210.5,210.91
20-Oct-2023,213.89,213.82
19-Oct-2023,214.73,214.78
18-Oct-2023,215,215.47
17-Oct-2023,217.11,216.98
16-Oct-2023,216.12,215.73
13-Oct-2023,216.89,215.7
12-Oct-2023,215.86,216.02
11-Oct-2023,216.7,216.7
10-Oct-2023,214.65,214.76
09-Oct-2023,213.81,213.46
06-Oct-2023,214.11,214.38
05-Oct-2023,213.9,213.18
04-Oct-2023,212.81,212.49
03-Oct-2023,214.04,213.97
29-Sep-2023,215.41,215.35
28-Sep-2023,213.84,213.43
27-Sep-2023,215.18,215.73
26-Sep-2023,214.69,214.93
25-Sep-2023,215.41,215.28
22-Sep-2023,215,215.44
21-Sep-2023,216.48,216.27
20-Sep-2023,218.11,217.99
18-Sep-2023,220.07,220.44
15-Sep-2023,220.25,220.58
14-Sep-2023,220,219.52
13-Sep-2023,219,219.02
12-Sep-2023,218,218.19
11-Sep-2023,218.63,218.82
08-Sep-2023,217,217.25
07-Sep-2023,215.89,215.5
06-Sep-2023,214.55,214.77
05-Sep-2023,214.5,214.14
04-Sep-2023,213.94,213.83
01-Sep-2023,212.08,212.57
31-Aug-2023,210.97,211.13
30-Aug-2023,212.4,212.3
29-Aug-2023,211.2,211.37
28-Aug-2023,211.11,211.12
25-Aug-2023,210.68,210.89
24-Aug-2023,212.1,212.1
23-Aug-2023,212.7,212.44
22-Aug-2023,212.5,212.36
21-Aug-2023,211.35,211.48
18-Aug-2023,210.03,210.9
17-Aug-2023,211.01,211.41
16-Aug-2023,211.9,211.48
14-Aug-2023,212.34,212.3
